fold,epoch,loss,val_loss,accuracy,val_accuracy
test_load_0,1,1.6911107301712036,1.4024800062179565,0.2916666567325592,0.5
test_load_0,2,1.5404272079467773,1.378758430480957,0.2083333283662796,0.5
test_load_0,3,1.6445999145507812,1.3583612442016602,0.3333333432674408,0.5
test_load_0,4,1.6378206014633179,1.3378047943115234,0.2916666567325592,0.5
test_load_0,5,1.4909247159957886,1.3190536499023438,0.3333333432674408,0.5
test_load_0,6,1.4214597940444946,1.300794005393982,0.2916666567325592,0.5
test_load_0,7,1.4534047842025757,1.2826972007751465,0.2916666567325592,0.5
test_load_0,8,1.3018783330917358,1.2679282426834106,0.4166666567325592,0.6666666865348816
test_load_0,9,1.4276355504989624,1.253653883934021,0.375,0.6666666865348816
test_load_0,10,1.561339020729065,1.239512324333191,0.25,0.6666666865348816
test_load_0,11,1.313017725944519,1.2263127565383911,0.3333333432674408,0.6666666865348816
test_load_0,12,1.3106039762496948,1.213236689567566,0.4166666567325592,0.6666666865348816
test_load_0,13,1.3226385116577148,1.2013230323791504,0.375,0.6666666865348816
test_load_0,14,1.3170887231826782,1.1892248392105103,0.375,0.6666666865348816
test_load_0,15,1.1662107706069946,1.1776666641235352,0.625,0.6666666865348816
test_load_0,16,1.1729680299758911,1.1660876274108887,0.5833333134651184,0.6666666865348816
test_load_0,17,1.3342889547348022,1.1544029712677002,0.2083333283662796,0.6666666865348816
test_load_0,18,1.0751829147338867,1.1421833038330078,0.6666666865348816,0.6666666865348816
test_load_0,19,1.181673526763916,1.130466341972351,0.5,0.6666666865348816
test_load_0,20,1.0851470232009888,1.1192208528518677,0.5833333134651184,0.6666666865348816
test_load_0,21,1.0910694599151611,1.1077861785888672,0.625,0.6666666865348816
test_load_0,22,1.1139734983444214,1.0972188711166382,0.5416666865348816,0.6666666865348816
test_load_0,23,1.08489191532135,1.0864686965942383,0.5416666865348816,0.6666666865348816
test_load_0,24,1.0366650819778442,1.0767289400100708,0.625,0.6666666865348816
