filename,fault_type,fault_size,position,load_hp,class_label,mean,std,rms,peak,kurtosis,skewness,crest_factor,shape_factor,n_samples,rpm
118_0.mat,B,007,None,0,B_007,0.012607048538945311,0.13866162366530224,0.13923355755837463,0.6070200798403194,-0.015283977273415239,-0.008853864452206987,4.359725417385977,1.2526148213764532,122571,1796.0
119_1.mat,B,007,None,1,B_007,0.0038918351975728966,0.13901385542053493,0.13906832270537547,0.6596490618762475,-0.0362458698935999,0.007453332605849807,4.743345206469149,1.2504169931760158,121410,1772.0
120_2.mat,B,007,None,2,B_007,0.004564114986322725,0.14718109062277251,0.14725184067615982,0.6045835528942115,-0.1685866511405183,0.027123576753414525,4.105779256259538,1.2442129649524227,121556,1748.0
121_3.mat,B,007,None,3,B_007,0.004199704983399223,0.1535774376611685,0.15363484917334896,0.720562235528942,-0.11027028480249834,0.02041248381394642,4.690096286135698,1.246846781079377,121556,1722.0
185_0.mat,B,014,None,0,B_014,0.004687847769163018,0.15264165334126276,0.15271362169584307,2.2781526946107786,14.769216979779063,0.225131853012617,14.917809356575498,1.5202643884947065,121846,1796.0
186_1.mat,B,014,None,1,B_014,0.004524908126695452,0.1408052640028766,0.14087795130706157,1.3397649500998003,5.837060167401953,0.01565250543775545,9.51011096959815,1.4337672133508177,122136,1772.0
187_2.mat,B,014,None,2,B_014,0.004579320217186272,0.14338404064989638,0.14345714791094472,1.8390905389221557,6.7522497536630794,0.1432727639573125,12.819790200093939,1.4215200273991462,121991,1749.0
188_3.mat,B,014,None,3,B_014,0.004535467952873973,0.13361739428910718,0.13369434739794453,1.9891805988023952,11.858722825401534,0.1637665356118326,14.87856919546157,1.4542741677484399,122136,1724.0
222_0.mat,B,021,None,0,B_021,0.021386886852406948,0.1339168524056972,0.13561387203190883,1.6595997205588824,5.548545077023443,0.03270872667326891,12.237684063532912,1.342529246421112,121991,1796.0
223_1.mat,B,021,None,1,B_021,0.004299993602986384,0.12897839638768582,0.12905005493886756,1.4747485429141716,6.407288927011509,-0.006821875642930872,11.427725029739634,1.3613624438734468,121701,1774.0
224_2.mat,B,021,None,2,B_021,0.0045582939348263575,0.10717203912292768,0.10726893312307444,0.6455172055888224,0.30058075720859945,-0.003859246716751901,6.017746115254001,1.2676437414368054,122136,1754.0
225_3.mat,B,021,None,3,B_021,0.00446089882264684,0.11788020232927589,0.1179645782406605,0.5763198403193612,0.10559166676593001,0.02507062985033852,4.885533004183734,1.259958713607254,122136,1729.0
3005_0.mat,B,028,None,0,B_028,0.004998502808751583,2.0771121106098427,2.077118124968439,10.9309616,0.8714735824885578,0.05595432862560568,5.262561367407109,1.32462063489575,120801,
3006_1.mat,B,028,None,1,B_028,0.009206922688729387,2.029831000884329,2.029851881191451,11.673961,0.9102858498510864,0.047840813089187494,5.751139335914401,1.324059820860753,121351,
3007_2.mat,B,028,None,2,B_028,0.00023332242775904257,2.14568941812442,2.1456894308101693,10.4418678,0.7722835068827054,0.04279326009581663,4.866439499614518,1.316354285936273,120984,
