RMS,Peak,Kurtosis,Skewness,Crest_Factor,Shape_Factor,Energy_0.0_50.0Hz,Energy_50.0_100.0Hz,Energy_100.0_200.0Hz,Energy_200.0_400.0Hz,Energy_400.0_800.0Hz,Energy_800.0_1600.0Hz,Energy_1600.0_3200.0Hz,Energy_3200.0_6000.0Hz,Amp_BPFI,Amp_BPFO,Amp_BSF,Label,Load
-0.4121398639920669,-0.2978293849743722,0.5244765002563121,0.6278609056105466,0.8035534418395543,0.5112701385049249,-0.38020076066165176,-0.44861964088710127,-0.7047166182581491,-0.6758573171969994,-0.28203173156351313,-0.16159917147979944,-0.3173615235963395,-0.2941920147216294,-0.5036412515367641,-0.6192840878065127,-0.6103410369400712,1,3
0.37455255015905126,0.601864885406589,-0.12863485938180608,1.0104427609056572,0.194901121282314,0.04621509227971366,-0.34278325729230014,-0.45020007604338436,-0.2848002974598738,-0.1031586210445117,-0.16822813134442371,-0.27758689712904866,-0.013684120554500587,-0.14461944000232016,-0.5036412515367641,-0.46770664544128043,-0.5060813485890452,1,2
1.0352253163751703,0.7878168012758149,-0.438212320224907,0.656879112628863,-0.5350898258462625,-0.36326472271776916,-0.3185339741907318,-0.44805126247289095,-0.17478044375200721,-0.18644420652762833,-0.26094646839314545,-0.12839791070981413,0.300475321996473,-0.326112784266069,-0.5036412515367641,-0.6192840878065127,-0.6103410369400712,2,3
-0.7159330801907365,-0.9137948156460733,-0.6192705177027665,-0.005243786714334342,-0.9888099836415736,-0.6866121833123296,0.5698108043590787,0.3563921181063588,1.2917617313971246,-0.5484909079906263,-0.289949185321365,-0.2781941153083093,-0.3307690447926673,-0.39338688146798056,-0.5036412515367641,1.1510601085920238,2.0850740642214647,0,1
-0.37991142340245493,-0.3507487121953678,-0.026154673421548615,-0.7205673596401396,0.3586908246934431,-0.03793212392112026,-0.37963371170674576,-0.4499108761928372,0.09507454013466594,-0.7716262683847327,-0.28575494132982027,-0.3346074613137083,-0.31691921998176337,-0.15785978919968782,2.421104726169951,-0.4928492392292774,-0.530434718273456,2,0
-0.6451025261647156,-0.8384657387847472,-0.6266095485946651,0.19568985057106641,-0.7636047874856134,-0.7006304383118933,-0.38147045036994065,-0.4490849515100815,-0.6417728319982512,-0.6135274346753244,-0.2632974081224292,-0.32801925863797987,-0.330088484300892,-0.3665492185589794,-0.5036412515367641,-0.6192840878065127,-0.6103410369400712,2,3
-0.24000164600222912,-0.13693223065635013,0.04600920061029907,-0.06794912907702144,0.4199644530028624,0.18812815086627674,-0.3818140171777925,-0.4496906613364264,-0.294658805806404,-0.38878163509407554,-0.28704494779429596,-0.3204435562639422,-0.321428045367435,-0.19072906630266503,-0.5036412515367641,-0.4851691428424127,-0.5025672780713321,2,1
0.6704924364144416,1.8943532148292659,1.3960494047376628,0.7007713025404934,1.3928594169371624,2.3045578866998224,-0.29507123745245745,-0.43125798647730823,-0.5826208835313469,-0.2709145491095215,0.1649261532416388,-0.10514000392323108,-0.16364857153053414,1.0209841772350372,1.3596420130750067,-0.28246297606988,-0.33040880857747074,2,0
-0.6196097577735037,-0.7322342382805749,-0.3714936725216387,-0.44724621001971404,-0.04251613041208352,-0.3762739681728543,-0.3802525368200574,-0.4498533566205788,-0.4443757672597904,2.8424163480542033,-0.28582249270083626,-0.3122735197447567,-0.3266957698708125,-0.3805245140342829,-0.5036412515367641,-0.4744184419996819,-0.5132526697356228,3,2
-0.634644574720681,-0.8261561770321997,-0.6180108668048164,0.1281540534647988,-0.7316847620680701,-0.6931460639286765,-0.3807354269452469,-0.4492056713268299,-0.2822777218536181,-0.7559589343035381,-0.272082372000342,-0.32765865768916924,-0.3303332221849327,-0.36333179418164074,-0.5036412515367641,-0.6192840878065127,-0.6103410369400712,2,3
-0.2721115889974369,-0.24130084755105285,-0.35966676348785453,0.5663232900117394,0.2172233612373306,-0.2381979380938356,-0.37021130724796186,-0.4486118380021018,-0.5304549895051702,2.1413525868704113,0.31923368135394614,0.16002876489930293,-0.3031725911367211,-0.3166845889919426,-0.5036412515367641,-0.41108490637060163,-0.5056457368062345,2,1
-0.6930116899660277,-0.8897357338864494,-0.6548419100605872,0.46098425803045606,-0.8986619073592014,-0.7925189310161729,0.47520034425082597,0.4184276315986607,0.8997594092010477,-0.6281984147051527,-0.29086825304632435,-0.13965470876626612,-0.3311821237246585,-0.3933935179794558,1.782053963017506,0.7503088925622988,1.9142004816962646,0,0
-0.6586280335778926,-0.8363469796953965,-0.5894400392433141,0.1854423868878707,-0.6264206591855239,-0.7139485669225871,-0.3796427444748576,-0.4498256609849695,-0.32308674145389177,-0.47842317728322103,-0.28359999210412845,-0.34367103278676847,-0.33051835999408785,-0.36257949582159993,-0.5036412515367641,-0.4618676123028269,-0.5081703743712248,2,1
-0.5642718508260317,-0.7330562657432493,-0.5010606031789286,0.09667837361146255,-0.5051712456258979,-0.4917570467468623,-0.3773967969352066,-0.4494763123577734,-0.6524706223288999,-0.9637276409063803,-0.2867379051935579,-0.32521630900404286,-0.3252427575954511,-0.3218400842697131,1.0950014496999214,-0.4348626312323384,-0.4584702828585577,3,0
